mID,mName,mRarity,order,,
1,레프리컨,2,0,46,
2,다크 나이트,3,0,113,
3,몽크마스터,2,0,47,
4,메타트론 아처,3,0,114,
5,인페르노,4,0,0,
6,데빌헌터,3,0,115,
7,코볼트,0,0,1,
8,하피,0,0,2,
9,인퍼날,1,0,21,
10,버서커,1,0,22,
11,가고일,1,0,23,
12,데몬 스토커,1,0,24,
13,캐노네이드 키틴,1,0,25,
14,데몬,1,0,26,
15,래서 아스타로트,2,0,48,
16,드래곤 나이트,2,0,49,
17,노아스,2,0,50,
18,엘라임,2,0,51,
19,크루얼 크루세이더,2,0,52,
20,퓨리,2,0,53,
21,광휘의 엘윈더,2,0,54,
22,수호자 엘리엇,2,0,55,
23,래서 루시퍼,2,0,56,
24,드래곤 나이트 아처,2,0,57,
25,님로드 크루세이더,2,0,58,
26,광휘의 엘로라,2,0,59,
27,파이어 데몬,2,0,60,
28,슈리엘,2,0,61,
29,네크로맨서,2,0,62,
30,쉐이드 웨폰,2,0,63,
31,메타트론,3,0,116,
32,아폴론,3,0,117,
33,이프리트,3,0,118,
34,아르테미스,3,0,119,
35,다크 스팅어,3,0,120,
36,엘더 스팅어,3,0,121,
37,인페르노 아처,4,0,0,
38,놀 병사,0,0,3,
39,오크,0,0,4,
40,그렘린,0,0,5,
41,홉 고블린,0,0,6,
42,용아병,0,0,7,
43,좀비,0,0,8,
44,버섯돌이,0,0,9,
45,콜로복,0,0,10,
46,선인장,0,0,11,
47,갈색 곰,0,0,12,
48,놀 아처,0,0,13,
49,코볼트 아처,0,0,14,
50,러스트 뱀파이어,1,0,27,
51,뱀파이어 퀸,1,0,28,
52,데빌,1,0,29,
53,스켈레톤 나이트,1,0,30,
54,뮤,1,0,31,
55,노움,1,0,32,
56,오크 전사,1,0,33,
57,트롤,1,0,34,
58,루움,1,0,35,
59,본보우 아크리언,1,0,36,
60,메테오스 레인저,1,0,37,
61,임프,1,0,38,
62,시아페,2,0,64,
63,골든 엠페러,2,0,65,
64,레이커,2,0,66,
65,타락한 엘프,2,0,67,
66,데스마스터,2,0,68,
67,문라이트 네메시스,2,0,69,
68,가이아,2,0,70,
69,수호자 엘리시스,2,0,71,
70,골든 엠페러 아처,2,0,72,
71,타락한 엘프 아처,2,0,73,
72,데스마스터 아처,2,0,74,
73,스핀들 네메시스,2,0,75,
74,가이아 거너,2,0,76,
75,듀라한,3,0,122,
76,크로노스,3,0,123,
77,오페르시나,3,0,124,
78,크로노스 아처,3,0,125,
79,오페르시나 아처,3,0,126,
80,비숍,3,0,127,
81,에리스,3,0,128,
82,발키리,3,0,129,
83,식인늑대,0,0,15,
84,리자드맨,0,0,16,
85,군,0,0,17,
86,벌거숭이 군,0,0,18,
87,청개구리,0,0,19,
88,괴물게,0,0,20,
89,뱅갈 나이트,1,0,39,
90,바바야가,1,0,40,
91,메테오스 쉐도우,1,0,41,
92,트로글다이트,1,0,42,
93,곰인형,1,0,43,
94,문엘프 전사,1,0,44,
95,문엘프 마법사,1,0,45,
96,미드나잇 셀린느,2,0,77,
97,캡틴 라이칸,2,0,78,
98,프린세스,2,0,79,
99,차크람 소녀,2,0,80,
100,체인 인큐버스,2,0,81,
101,헌터 노바,2,0,82,
102,길가메쉬 나이트,2,0,83,
103,길가메쉬 아처,2,0,84,
104,바바리안,2,0,85,
105,에리세드,2,0,86,
106,아스모데우스,2,0,87,
107,글래디에이터,2,0,88,
108,아크데몬,2,0,89,
109,아수라,2,0,90,
110,헤라클레스,2,0,91,
111,라르카 집정관,2,0,92,
112,리치 킹,2,0,93,
113,황천의 기사,2,0,94,
114,황천의 레인저,2,0,95,
115,암살단 암흑,3,0,130,
116,넵튠,3,0,131,
117,넵튠 아처,3,0,132,
118,암살단 칠흑,3,0,133,
119,다크 메이지,3,0,134,
120,네케브,3,0,135,
121,바알베크의 사령관,3,0,136,
122,유피테르의 사념,3,0,137,
123,엘사라드,3,0,138,
124,아바돈,3,0,139,
125,아누비스,3,0,140,
126,여신 칼리,3,0,141,
127,센티넬,3,0,142,
128,엠퍼사이저,3,0,143,
129,인페르노 위저드,4,0,0,
130,베르키오라,2,0,0,
131,스나이퍼 빅스웰,2,0,0,
132,바드,2,0,0,
133,엔젤리스,3,0,0,
134,데빌리스,3,0,0,
135,엘프리스,3,0,0,
136,광대,3,0,0,
137,나인테일,3,0,0,
138,알케미스트,3,0,0,
152,벨켄,4,0,0,
153,벨리타,4,0,0,
154,호텐 플로츠,4,0,0,
155,각성한 라르카,3,0,144,
156,스나이퍼 로즈레인,3,0,145,
157,카오스 가디언,3,0,146,
158,카를린,4,0,0,
159,네드라스,4,0,0,
160,바이스,4,0,0,
161,메테오스의 가디언,3,0,0,
162,메테오스의 귀부인,3,0,0,
163,아크 데빌리스 나이트,4,0,0,
164,아크 엔젤리스 아처,4,0,0,
165,아크 엔젤리스 위저드,4,0,0,
166,이자벨,3,0,156,
167,카를로스,3,0,157,
168,미드나잇 에르메스,3,0,158,
169,휠카셀,3,0,160,
170,렉스,2,0,98,
171,그룸프,2,0,96,
172,캐서린,2,0,97,
176,나이트 오브 퀸,2,0,99,
177,나디아,2,0,100,
179,파이어 워크스,2,0,101,
181,엘로이,3,0,161,
184,용 수호자 카발,4,0,0,
185,용 수호자 엘리아,4,0,0,
186,용 수호자 디트리오,4,0,0,
187,용 수호자 셀라,4,0,0,
188,메테오스,5,0,0,
189,메테오스 아처,5,0,0,
190,메테오스 위저드,5,0,0,
191,메테오스 어쌔신,5,0,0,
192,레오넬,3,0,162,
193,아델리아,3,0,163,
194,이안,3,0,164,
195,팔란,3,0,165,
196,시리아,2,0,102,
197,디아나,2,0,103,
198,트루디,2,0,104,
199,로드 오브 아크리언,3,0,166,
201,해적 여선장,2,0,0,
210,수라,3,0,147,
211,베놈리퍼,3,0,148,
212,블랙 데빌리스,3,0,0,
213,다크 어쌔신,3,0,149,
214,오페르시나 어쌔신,3,0,150,
215,메타트론 어쌔신,3,0,151,
216,넵튠 슬레이어,3,0,152,
217,암살단 일격,3,0,153,
218,바알베크의 집행관,3,0,154,
219,미드나잇 아르테미스,3,0,155,
220,크리스,4,0,0,
221,인페르노 어쌔신,4,0,0,
222,삐에로,3,0,0,
223,아크 데빌리스 어쌔신,4,0,0,
224,제롬,3,0,159,
225,릴리언스,3,0,167,
226,시에나,2,0,105,
227,코사르,2,0,106,
228,센토,2,0,107,
229,베자렐,2,0,109,
230,파시에,2,0,108,
231,개구쟁이 반달곰,1,0,0,
232,장난꾸러기 반달곰,1,0,0,
233,릴리아,3,0,168,
234,리치 나이트,3,0,169,
235,라르카 강궁병,3,0,170,
236,릴리안,3,0,171,
237,라르카 집행자,3,0,172,
238,벨라,2,0,110,
239,바다의 헤라켄,4,0,0,
240,바람의 유게네스,4,0,0,
241,불꽃의 벨제뷔트,4,0,0,
242,대지의 가이아스,4,0,0,
243,아니타,2,0,111,
244,카사,2,0,112,
245,러셀,3,0,173,a
246,캐스퍼,2,0,0,
251,아레스 아처,3,0,174,a
252,베르디,2,0,0,
253,관우,4,0,0,
254,하후연,4,0,0,
255,주유,4,0,0,
256,초선,4,0,0,
257,실피드,3,0,175,a
258,블러디 뱀파이어,2,0,0,
259,메테오스의 핏빛 기사,3,0,0,
260,백호,4,0,0,
261,주작,4,0,0,
262,청룡,4,0,0,
263,현무,4,0,0,
264,티라도르,3,0,0,
265,아이아르,2,0,0,
266,뱀파이어 킹,3,0,0,
267,실라페,2,0,0,
268,티어스 윗치,3,0,0,
269,언딘,2,0,0,
270,리게이아,3,0,0,
271,테로스,2,0,0,
272,장합,3,0,0,
273,손상향,3,0,0,
274,법정,3,0,0,
275,감녕,3,0,0,
276,락세스,4,0,0,
277,칼로체,4,0,0,
278,엘리바가르,4,0,0,
279,스카디,4,0,0,
301,그리헨텔,5,0,0,
321,그리헨텔 아처,5,0,0,
341,그리헨텔 위저드,5,0,0,
361,그리헨텔 어쌔신,5,0,0,
